ident,title,description,question,annotation_score,annotation_category
B0025BRGPE,Restful Nights Egyptian Cotton Pillow Size: Super Standard,"14162 Size: Super Standard Features: -Material: Egyptian cotton fabric.-300 Thread count.-Natural softness and durability.-Ultima fibers for resilient loft. Color/Finish: -Color: White. Dimensions: -Super Standard: 28'' W x 20'' D, 1.75 lbs.-King: 36'' W x 20'' D, 2.18 lbs. Collection: -Restful Nights collection.",is it the real restful nights logo on the plollow tag?,3,s
B001UQ6ERG,"Zuo Modern Lider Hi-Back Office Chair, Terracotta","Chrome plated steel frame w/rolling base, washable leatherette seat & back, w/adjustable height & locking tilt",is this chair hard to assemble?,2,g
B003Y3G2CU,"Rubbermaid FG129506 Antimicrobial Sink Protector, Small","The Rubbermaid FG129506 Small Antimicrobial Sink Protector protects your sink from scratches and provide a flat, stable base for your dishes and glassware to help prevent breakage. It has a center hole cutout for easy access to your drain/disposal. Built-in Microban antimicrobial product protection fights the growth of stain and odor-causing bacteria keeping your sink protector looking and smelling fresh.",what are the exact dimensions?,1,g
B005PE1JL0,Powell Woodland Cherry Jewelry Armoire,"The ""Woodland Cherry"" Jewelry Armoire is an elegant addition to any room. Six spacious drawers, a deep flip top storage space and two side storage cabinets concealed with doors provides ample storage for all of your bits and baubles. Graceful turned legs and open circular knobs accent the piece. Some assembly required.",are the drawers all open or do any of them have dividers?,-5,s
B005DC5730,"Bobkona Miranda 3-Piece Reversible Sectional with Ottoman Sofa Set, Chocolate","Captivate friends and family with the 2-piece corduroy sectional. Available in two vibrant colors, the ""Miranda"" is perfect for movie nights and other gathering. Its simple design includes a reversible chaise and matching cocktail ottoman.",what are exact dimenisons,1,g
B003BURW52,"Optimus F-1760 16-Inch Wave Oscillating 3-Speed Stand Fan with Remote Control, White","Optimus 16 inch wave oscillating stand fan includes microprocessor based remote control function including on/off, 3 speed selection and 1-7 hour timer selection. Also includes 4 position push button switch: Off, Lo, Med and Hi located on the pole of the fan. Provides adjustable tilt and angle head for vertical settings as well as adjustable pole height. Base of the fan is a cross design for extra stability. Provides full room 90-degree oscillation with up/down and left right wave oscillation for excellent coverage. No tool assembly required and the powder coated safety grill is easily removable for cleaning.",how tall is it?,-5,g
B000QUC8N6,O2cool 8101 Deluxe Battery-operated Handheld Water-misting Fan- Colors May Vary,"Deluxe Water Misting Fan. Battery operated, requires 2 AA batteries (not included).  Water opening accomodates ice. Provides up to 1000 refreshing mists in one bottle. Powerful and safe flexible fan blades.",how long does it take before the water tank is empty?,-5,s
B000U5NZ4I,Premium Quality Cast Iron Corn Grinder For Wheat Grains Or Use As A Nut Mill,"2010 CORN GRINDER Features: -Grinder.-Prevents rust and makes it a snap to dust off after use.-Hardwood handle allows for easy continuous operation.-Simple and easy operation.-Quick and easy clamp on installation.-Ideal for grinding grains, corn, nuts and cereals. Construction: -Cast iron construction. Dimensions: -10"" Long arm.-Overall dimensions: 9"" H x 16"" W x 8"" D.-Product weight: 9 lbs. Warranty: -Manufacturer provides 1 year warranty on manufacturing defect.",will it grind nuts into nut butter?,4,s
B000GWL8T4,"T-fal E938SA94 / E938SA84 Professional Total Nonstick Thermo-Spot Heat Indicator Oven Safe Dishwasher Safe PFOA Free Cookware Set, 10-Piece, Black","T-fal E938SA74 Professional Total Nonstick Oven Safe Thermo-Spot Heat Indicator 10-Piece Dishwasher Safe Cookware Set, Black. The Set includes: 8 and 10.25-Inch Fry Pans, 1-Quart & 2-Quart & 3-Quart Covered Saucepans, and 5-Quart Covered Dutch Oven",which t-fal set is heavier; the professional or the ultimate?,-5,s
B007T3WNCO,"Haier Hmc720Beww .7 Cubic Feet 700-Watt Microwave, White","Haier Hmc720Beww .7 Cubic-Ft, 700-Watt Microwave (White) Electronic touch controls with led display, Convenience Cooking",what are the exterior dimensions?,-5,g
B008KSGVSO,Super Soft Plush Fleece Blankets - By Threadart - Black - 9 colors available,"These super soft plush fleece. These blankets are so soft and cozy! Easy to personalize with embroidery. Lots of great colors available. Made of 100% easy care polyester. 50"" x 60"". Embroidery shown is an example and is not included.",what about the measurements ?,1,g
B001TI03N6,Nordic Ware Zoo Friends Pancake Pan,"Your family will love these fun silver dollar-sized pancakes with four different animal designs, monkey, giraffe, lion, and elephant. You'll love the non-stick coating that makes cleanup a breeze.   Use your favorite pancake recipe or the one included with the pan.  Proudly made in the USA by Nordic Ware.",what is the diameter of the pan?,2,g
B002SVNEWA,"American Weigh Scales LB-3000 Compact Digital Scale with Removable Bowl, 3000 by 0.1 G",With a 3 kg capcity and 0.1 g readability the American Weigh is ready to take on even the most demanding precision weighing tasks. A removeable plastic bowl is included for weighing loose ingredients or even liquids. The hinged flip-top cover helps protect the load cell from accidental overload when not in use.,what size weight do i need to calibrate the 3000g one?,4,s
B0067CZHGW,"Casual Home 324-52 Montego 5-Tier Bookcase, Black","Create a stylish display space with the montego 5 tier bookcase. Criss cross sides give this shelf a chic, airy look. Four large shelves can accommodate larger books or picture frames. This bookshelf has a versatile design that looks great with any decor. Made completely of wood.",can this item be painted?,-5,g
B002M0HU04,"Lasko Tower Fan #2511, 36-Inch, Black","Lasko's #2511 36-Inch oscillating tower fan with multi-function remote control, black.",what is th height?,1,g
B002FWXY86,"Black &amp; Decker FP2500 PowerPro Wide-Mouth 10-Cup Food Processor, White","Just how powerful is the Power Pro Wide-Mouth Food Processor? So powerful, that we had to design special heavy-duty suction cup feet to keep it in place while it slices, chops, shreds, grates and purees whole apples, potatoes, cucumbers, onions, blocks of cheese or any other whole foods with ease. With a fierce, 500-watt motor and tons of torque working in concert under its sleek and sturdy exterior, this is one heavy-duty piece of machinery that performs as great as it looks.",where can i find replacement parts,1,g
B000AQH6C4,Sicily Blue 16 Pc Dinnerware Set Service For 4,Sicily Blue 16 Pc Dinnerware Set Service For 4Made In China,are they dishwasher and microwave safe?,2,g
B008KZV6NC,National Presto Dehydro Electric Food Dehydrator Fruit Roll Sheets,"For use with Presto Dehyro food dehydrator. Makes healthy, nutritious snacks with no additives. Use fresh, frozen or canned fruits. Easy to clean. Contains two fruit trays.",does anyone know if these are bpa (or whatever) free?,4,s
B003O6V4WU,Coaster Harper Sofa in Black Leather,This attractive contemporary silhouette lends a stylish appearance while the over-stuffed pillow-top seating offers long lasting comfort. Comes in a rich brown or deep black bonded leather option.Product Width 36.5Product Length 84,it is genuine leather or other kind of fake leather?,2,g
B00462QB3I,Powermat One-Position Charging Mat with Receiver Case for iPhone 4 (Fits AT&amp;T and Verizon iPhone),Powermat Wireless Charging System for iPhone 4. Includes: (1) Powermat 1Xi Charging Mat; (1) 100 - 240 VAC Power Supply; (1) Case for iPhone 4; and (1) Data Sync Cable.,how much mah does it have?,3,s
B0055QM0NE,D-Art Mahogany Finish Serenity Entry Wall / Hall / Console / End Table,"D-Art Collection has a variety of furniture and accessories, ranging from small sizes to big sizes, from indoor to outdoor furniture. And we specialize in mahogany wood for indoor, teakwood for outdoor, and rattanseagrassbanana leaf for casual style furniture. The items are mostly  handmadehand-detailed.",can you tell me the dimension of the box that the table come in,2,g
B003G2ZWGG,Greenland Home Trafalgar King Set,"Color blocks with rich tones of rust, gold, moss and cream, Greenland Home Trafalgar features floral and scroll quilting with embossed texture enhanced by the soft lavish microsuede. Bordered and reversed to a solid chocolate. Face: 100% Microsuede. Back & Fill: 100% cotton. Each quilt set includes 1 quilt and 2 standard sized shams (1 sham per Twin set). Sizes: Twin 68""x86"", Full/Queen 86""x86"", King 100""x90"", Sham 20""x36""",is it washable?,1,g
B001U4ZYE2,CHEFS Fresh Valley Canisters: Small,"Inspired by handmade crocks of the late 1800s, our rustic canisters are crafted of hand-painted earthenware and generously sized for bulky vegetables. Decorated labels are large and easy to read on pantry shelves. With snug lids and ventilated cutouts along the base, this is a charming way to keep produce fresh and handy. Exclusive. Dishwasher-safe.Product Features&#149; Hand-painted earthenware&#149; Farmers Market-inspired decal labels&#149; Ventilated base keeps produce at its best&#149; Garlic: 5 3/4"" Dia. x 6 3/4""H&#149; Onion: 7 3/4"" Dia. x 8 1/2""H&#149; Potato: 9"" Dia. x 9 3/4""H",how many garlic bulbs does the garlic canister store?,4,s
B003E6NPUE,Steamer Basket,Preserve the natural flavor and nutrients of your foods with this steamer basket. Fits sauce pans.,it says you offer free shipping but then it says $6.49 + $5.25 shipping when i aed it to my cart.,1,g
B000WEPG26,18&quot; Wall Fan,"Pro-Temp is the choice for both the Professional and Do-It-Yourselfer looking for portable air circulators.  Regardless the need, we have the right fan for you! Pro-Temp fans are ideal for garages, workshops, construction sites, warehouses, aircraft hangers, farms, and any application where air circulation is needed.",does it have a pull chain for on/off,-5,s
B002TLYCS4,Black &amp; Decker 12 Cup White Replacement Carafe,"Never fret over a broken coffee maker carafe again, simply buy a replacement. Serve your freshly brewed coffee from this traditional carafe from Black & Decker. This carafe features a white handle, lid and knuckle guard, along with a pour spout to make serving simple. This carafe also features a 12 cup water level indicator for coffee and water.8-1/2"" L x 6-1/2"" W x 5-1/4"" H, 12 cup capacity",fits model spacemaker odc 440?,4,s
B001KW0BCE,Prepac Black Large Capacity Wall Media Storage Rack,"A beautiful mix of practical storage and Home D&#xE9;cor fashion, the Triple Floating Wall Storage is designed to manage a large collection of CDs or DVDs with style.  Mount on your wall as a stand-alone d&#xE9;cor piece or above a complementary piece to make your collection easily accessible.  Floating wall storage is ideal when floor space is limited and with our easy to hang system can be mounted at any height to best suit your room requirements.",obviously this unit is meant for cds and dvds but i am wondering how it'd hold up if i wanted to store a number of books instead?,2,g
B0000CFMR5,Prodyne CK-300 Multi-Use Cheese Fruit and Veggie Knife,"This knife is specially designed with a unique open surface blade and a lifetime sharp serrated edge. The open surface blade reduces friction and keeps food from sticking. Particularly suited for all types of cheese to produce a perfect slice, thick or thin, every time. Also ideal for fruits and vegetables. Quality crafted stainless steel blade with durable Bakelite handle. 10-inch long with a 5-1/2-inch blade.","is this knife good for cutting avocados,oranges, grapefruits, lemons &amp; limes?",2,g
B004ULOZXS,"ScreenDeck, a Shelf for Your TV Things -for 50-Inch TVs and Larger","ScreenDeck is an easy to install shelf for flat screen TV accessories. ScreenDeck mounts easily on the VESA mount standard screw hole patterns on flat panel televisions. ScreenDeck can hold a variety of TV things, not just 1 ScreenDeck is great for: Video Game Sensors (Kinect, Wii, PS Move), Small Media Players like Apple TV or Roku, Remotes, Webcams, Center Channel Speakers, HD Antennas or any other household items that fit.",will this work on my 47in lg smart tv.,-5,s
B000FOU3JO,Mr. Dudley Whistler Peppermill &amp; Salt Shaker Gift Set - Wood,"Mr. Dudley gears are fully adjustable from extra fine to coarse to meet your pepper needs. Adjustable zinc alloy mechanism from extra fine to coarse grinding. Easy to use and fill.Filling And AssemblyUnsrew and remove finial (top nut). Remove top. Pour peppercorns into mill. When finished filling, replace top and screw finial back on mill.",does salt shaker fill from bottom or top?,4,s
B001TH8M9E,"Newpoint 100-Percent Cotton 6 by 16 U Neck Pillow Pairs, White","Newpoint soft 233-thread-count, 100-percent cotton, 6 by 16 U Neck pillow pairs. Machine wash. Each neckroll is filled with a hypoallergenic poly fiberfill. These e by tra comfortable neckroll pillows are e by tremely nice These fiber filled pillow are very comfortable and supportive for use as a cervical pillow. The U-Neck Pillow helps to stabilize the neck and head while resting and sleeping, great for at home or for traveling.",can i use it as a knee pillow?,-5,s
B0088AHJ5S,"Sunbeam CSU9MKS-R000-14A00 Heated Comforter, King","Experience heated bedding like never before with the NEW Sunbeam Premium Heated Comforter. This unique comforter delivers all the warmth of a luxury down comporter without the heavy weight and bulkiness. Use it on its own for a clean, sophisticated look, or slip it into a duvet cover to match your existing room decor.",how long is the cord to plug it in?,-5,g
B00121XRFQ,"MaxiMatic HA-3433A Elite Platinum 550-Watt Stainless Finish Meat Grinder, Gray","Hamburgers for dinner?!  With the Elite Platinum Stainless Steel Meat Grinder, grinding your own meats to make hamburger patties has never been easier.  This industrial strength 550 watt/1.5 Horsepower meat grinder is designed to grind quickly through beef, chicken, pork, and venison.  It also includes an attachment for stuffing your own sausages!",does this work 120 volts - 220 volts?,2,g
B000HVY2QA,Soleus Air HM2-15R-32 Flat Panel Micathermic Heater with Remote,"Flat Panel Micathermic Heater with Digital Display, 750W/1500W, with high, lowheat settings.  Micathermic heat utilizes technology from both convection and radiant heat, that use 80% convection and 20% reflective heat, distributing heat consistently and more evenly throughout the room, along with overheat and tip-over safety protection features. 12 Hour auto shut-off timer with remote control.",how loud is it?,2,g
B003N645AO,Wusthof 3-Piece Build A Set,"Every knife block set comes with three basic items: a storage block, a honing steel, and a kitchen shear. With this Build a Set you decide what knives go in your set. Do you want to fill the slots with steak knives or do you want to store many different paring knives. With the Build a Set you are the creator and you decide how to customize your set to fit your cooking needs.",does this block fit the 7 inch wusthof santoku knife?,3,s
B004MYF7XU,Idea Works Waterfall Soap Saver,"This handy slanted soap dish drains excess water away from your soap and into your sink or shower, keeping soap dry and making it last longer. Built in plastic prongs hold soap in place.","are there any stores where you can walk in, see and buy the real soap saver so that you can avoid the risk of being sold a cheap knockoff on-line?",-5,g
B004SQUV7E,"Nespresso Pixie Espresso Maker, Red",Nespresso Pixie C60-US-RE-NE -the pixie heats up in only 25-30-seconds. Item is red in color which does have more of an orange appearance.,who is sure it supports 220v?,4,s
B006ZTBVX0,"Cool Gear Go-Gear Silicone Travel Containers, Assorted Sizes, 3-Pack","Go Gear Travel Containers - 3-Pack: 1-1/4-ounce, 2-ounce, and 3-ounce Silicone Travel Tubes",are these bpa free- what kind of plastic?,-5,g
B0063QEHZY,"Norpro Cupcake Corer, Red","Create your own surprise filled cupcakes and muffins! Interchangeable small and large corers with ejector for standard and jumbo cupcakes and muffins. Hollow out the perfect center space for frosting, pudding, jam, ice cream, marshmallow, whipped cream, custard, caramel, mousse or pie filling.",does the smaller part work great for mini cupcakes and does the bigger corer make to big of a whole in a regular size cupcake?,2,g
9178891396,"IKEA - EXPEDIT Shelving unit (1X5), black-brown","Product dimensions
Width: 17 3/8 ""
Depth: 15 3/8 ""
Height: 72 7/8 ""
Max load/shelf: 29 lb",i'd like to paint it...do you think it can easily be done with the material it is made out of?,-5,g
B000X1M2T8,"Update International SPH-1006 Stainless Steel Anti-Jam Steam Table Pan, Full, 6-Inch","This Anti-Jam steam table pan has construction of 22 gauge 18/8 stainless steel. Reinforced corner design gives strength and allows space between pans for easy removal. Offers a great fit within steam tables and optimal heating efficiency. This steam pan can and will handle busy kitchens and high-volume buffet service and catering. Built with reinforced corners so that pans do not and will not damage easily. Anti-jam feature also gives plenty of space between pans, making them easily-accessible. Available in full size.",how many quarts does it hold,-5,g
B0049B2RAC,KidKraft Personalized Martial Arts Belt Holder with Black Zen - Benjamin,"The Martial Arts Belt Holder by KidKraft is a one-of-kind way to store martial arts belts. This unique holder is perfect for any enthusiast, young or old.","i want to personalized it to say ""sophia"", i clicked on it on the 1st page, but on the order, there is no mention of the name ""sophia""",4,s
B005U5YOCU,"Gold Medal 30011246821TD Large Leather Look Tear Drop Bean Bag, Walnut","The Large Tear Drop Bean Bag is Sturdy, Double Stitched, and has a Child Safe Zipper. A Walnut Leather Look Vinyl. 112"" Circumference (L35"" x W34"" x H27""). Ideal for Teens, College, Gamers, Adults. The Tear Drop Shape Conforms to each Individual and Provides Extra Back Support. This Durable Bean Bag is Made in USA and has Easy Wipe Down Maintenance. Filled with Virgin Expanded Polystyrene Beans. .",how wide is it,1,g
B004BI24CY,"Coaster Lily Sectional Chaise Sofa, Cream Microfiber",Casual look and feel this loose pillow back design offers multi-colored back pillows. Padded micro fiber seat cushions for ultra comfort and durability. The tapered track arms and wood block legs complete this casual look and feel.,how comfortable is this sofa?,2,g
B004D07704,Signature Design by Ashley Traditional Medium Brown Nestor End Table,"With the scrolling bronze color finished metal adorned with wirework detail supporting warm burnished finish table tops, the ""Nestor"" accent table collection beautifully captures the elegance and grandeur of fine traditional design.",what is the height and diameter of the top?,-5,s
B000UBE9LU,"Winco WOK-16W Stainless Steel Wok with Welded Joint Handle, 16-Inch","Stainless steel construction, Welded joint handle, 16-inch diameter, Handle measures 7-inch, Mirror finish.",is it capable of being used with an induction cook-top?,-5,s
B0027MF964,"T-fal A8572494 Specialty Nonstick Dishwasher Safe PFOA Free Cookware Handy Pot Sauce Pan with Glass Lid, 3-Quart, Gray","T-fal A8572494 Specialty Nonstick 3-Quart Handy Pot Sauce Pan with Glass Lid Dishwasher Safe Cookware, Gray",how deep is the actual pot?,2,g
B0023XPWRI,Bakers &amp; Chefs 6 Premium Table Covers Classic White 3-Ply Banquet Paper Poly 54&quot; x 108&quot; (137cm x 274cm),"OverviewClassic white3-ply tissue/polySpecificationsEach measures: 54"" x 108"" (137cm x 274cm)",are they floor length?,-5,s
B00580JDLY,"Pegasus SP4582 30-Inch by 24-Inch Surface or Recessed Mount Beveled Mirror Medicine Cabinet, Clear","Incorporate a touch of style into your space and add a timeless, crafted look to your home with Pegasus.&#xA0;",what are the required wall opening dimensions?,-5,s
B001W3V88W,Tassimo Single-Serve Coffee Brewer TAS1000UC,"Better brewing by design, Tassimo is a brewing system unlike any other. Remarkable in its ability to offer an exceptional combination of quality, convenience, consistency and versatility. Only tassimo offers a choice of coffee, cappuccinos and lattes made.",milk: what kink of milk is being used?,2,g
B005VY8ZNO,"Skyline Furniture Velvet King Tufted Wingback Bed, Light Gray",This stylish tufted bed is a great way to redesign your bedroom. It features deep hand-pulled tufts and eye-catching wings. Easy assembly required. Made in the USA.,"can anyone tell me what the space is underneath this bed...in other words, is there clearance room to store stuff under the bed?",2,g
B0011YLW7O,PEB2060SMSS GE PROFILE SERIES Countertop Microwave Oven Stainless Steel,Countertop Microwave Oven with 1200 Watts Sensor Settings10 Power LevelsTurntable and Optional Built-In Trim Kit Sold SeparatelyStainless Steel,mounting kit for this product?,2,g
B001EU82QY,Continuous Alarm Timer | Sper Scientific | 810045,"Select either a bright flashing yellow LED visual alarm or an audible alarm. A memory recalls the last timer setting for reuse. Model 810040 is often used by testing organizations, including Law School Admissions Council (LSAC). Built in stand for bench top use, clips to a pocket, or sticks to any metal surface with a magnetic back. 2 AAA batteries included. N.I.S.T. traceable certificate of compliance available",size please (in approx inches),2,g
B0006OLG58,"Kirby Generation 1,2,3,4,5,6 and Ultimate G Allergen Filtration Bags PKG of 9","Fits Models: Generation Series G3, G4, G5 & G6 Envirocare Technologies a new name in Micro-Filtration Vacuum paper Bags!!! This new Media has 40% better Air Flow, 30% better burst strength, 24% improvement in Pressure Loss, and a 10% better Dust Retention.",will this fit a g2000 limited edition?,4,s
B007S7SVDQ,Home Creek Sascha Faux-Leather Tufted Slat Platform Bed,"Home Creek Sascha Faux-Leather Tufted Slat Platform Bed. Update your bedroom with this contemporary upholstered bed. Color faux leather completely covers the headboard, side rails, and footboard for a cohesive look. The headboard features elegant diamond tufting detailing that creates an impressive centerpiece for your room. European slat design allows for use without a box spring. Easy assembly is required with included hardware bag and instructions. Note: Mattress, pillows, linens, etc. are not included. Dimensions: Queen - 83.85""L x 64.98""W x 52.75""H; 144.5 lbs.","if i use the box spring with the mattress on top, will it cover a lot of the headboard?",2,g
B008P47GPK,"Calphalon 4-Slice Toaster, Black","The Calphalon 4 Slot Toaster makes breakfast a snap. The extra-wide slots accommodate bagels, English muffins and even thick slices of artisan breads. The Defrost setting is ideal for frozen waffles and toaster pastries. The Bagel setting toasts bagels perfectly on the inside. Opti-Heat system ensures accurate temperature control and even heat delivery. Dual controls for each set of slots for separate shade selection. Designed with sleek, cool-touch sides, front and back, it's a great choice for your busy kitchen.",does this toaster toast longer slices of bread?,4,s
B003E7WSQK,Coaster TV Dresser Stand Louis Philippe Style in Cherry Finish,"Louis Philippe bedroom set made from selective hardwood and veneers in a cherry finish. Features include metal glides, and antique brass metal handles.",what are the dimensions ?,1,g
B001B2QS4I,4 Dark Oak Stain Kitchen Dining Arrow Back Chairs Set,"A set of 4 arrow back chairs perfect for any dining area. These chairs have an oak finish. The total height of each chair is 36"".

Be careful when trying to do your own color matching between products. Actual finish color may vary depending on your computer monitor settings. We are not responsible for color differences between your furniture and ours. This item comes unassembled and some assembly is required.",what is the maximum weight limit for these chairs?,2,g
B002RL8X9U,"Prestige Popular Aluminium Pressure Cooker, 3 Liters","Prestige Pressure cookers are one the fastest and easier ways to cook any hot food.  These Prestige Popular Aluminum Pressure Cookers come in a fully assembled fashion and are ideal for both home use and cooking in bulk quantities. This cooker will also come with a very detailed instructional booklet, safety valve, and manufacturer's warranty.  This cooker is easy to clean and has a heavy bottom which means nothing will stick to it.",does this product come with the weight and gasket?,3,s
B002D47IHO,"Kitchen Supply 7079 Rosette Iron, Geometric Spanish","Crisp rosettes, an old world tradition from Scandinavia, Spain and Northern Europe, now have become popular the world over.  Easy and fun to make, rosettes delight the child in everyone.  Made in the USA of high-quality hand-cast aluminum by Kitchen Supply Co..  Complete instructions included.  Handle sold separately (Kitchen Supply # 7167).",does this fit all rosette handles made by kitchen supply?,2,g
B000ECQEOU,Paderno World Cuisine Chromed Steel Wall Mounted Glass Rack,"The Padeno World Cuisine chromed wall glass rack can be mounted on a ceiling, under a counter or on a wall. It holds approximately 20 glasses.",can i mount to wall,-5,s
B000066RUK,"Whitmor 6027-533 Designer Plastic Clip and Drip Add-On Hangers, Set of 3","Save energy and protect your clothes with this set of 3 innovative clip and drip clothes drying hangers from Whitmor. The 6027-533 Clip and Drip Add-On Hangers can hang over the hanger bar, or be clipped onto each other to save space in the laundry room.  These hangers are energy-efficient, perfect for socks, washcloths, and kids' clothes. Each hanger has 8 clothespins attached and is made of strong molded plastic and metal for strength and durability. Comes in a set of 3 hangers.  Measures: 0.56&#x201D;L x 14.31&#x201D;W x 7.63&#x201D;H.",is this sturdy enough to air dry mens polo shirts?,-5,s
B003E80N2A,Bedroom Mirror Louis Philippe Style in Deep Black Finish,"Dimension: 34 1/2""W x 39 1/2""H
Finish: Deep Black
Material: Solids, Veneers, Glass
Bedroom Mirror Louis Philippe Style in Deep Black Finish
Features decorative molding trim.
Complement your bedroom with this traditional styled Louis Philippe bedroom item.
Matching bed, nightstand, dresser, chest and TV dresser are available separately.",where can i buy the brackets to attach is mirror to the dresser,3,s
B004NG8G62,Genpak 10500 10-3/8-Inch Length 1-1/5-Inch Height 8-3/8-Inch Depth White Color 5 Compartment Foam School Lunch Tray (Case of 500),"Genpak compartment lunch trays are second to none in quality and functionality. With five and six compartments, our school meal trays are durable and secure enough for hot and cold foods. Our trays are ideal for cafeteria and commissary use. Great for separating dressings and sauces from breads and pasta, our lunch trays will help keep your meal fresh and appetizing. Our trays are available in white and sesame for optimal foodservice applications.",does it hold hot food well?,2,g
B000KKXIRM,White 96&quot;-150&quot; Adjustable Closet Rod,"Rods sized 48'' to 72'' through 72'' to 120'' includes 1-piece central support, sized 96'' to 150''  includes 2-piece central support.",are the end pieces attached or removable?,4,s
B007X51GW6,41&quot; to 72&quot; Adjustable Spring Tension Steel Shower/Window/Closet Rod (White),"Adjustable for a custom fit, this shower curtain rod from is simple, handsome, and available in just about every color that bath dcor could call for. Fashioned from steel for durability, the cylindrical rod fits shower openings from 41"" to 72"" wide and stays in place with a built-in tension mechanism. Its rubberized, color-match end caps protect tile and shower surround, and its finish is resistant to corrosion and discoloration.",what are the dimesions?,1,g
B002X3JPMG,Rectangular Dining Table with Glass Top Cappuccino Finish,"Dimension: 72&quot;L x 42&quot;W x 30&quot;HFinish: CappuccinoMaterial: Hardwood, GlassRectangular Dining Table with Glass Top Cappuccino FinishFeatures gently curved legs with a rectangular top for extra support and sturdiness.Rectangle base is designed for plenty of leg room.Embellish your dining room with the classic beauty of this item.Matching dining chairs are available separately.Assemble required.",how is the top attached to the base?,2,g
