ident,title,description,question,annotation_score,annotation_category
B0015VIV7M,"Leggett &amp; Platt Fashion Bed Group Murray Platform Bed, King, Mahogany","The murray platform is part of fashion bed group's new urban options collection: a group of beds and daybeds designed to give the purchaser a variety of choices. this is just a bare bones platform box, designed to be used with a mattress only, without attaching a headboard. it is a minimalistic, contemporary bed, sold at a promotional price. this bed is perfect for a recent college grad or city dweller with limited space.",what is the weight limit capacity of this bed?,4,s
B003HC7TRU,"Whip-It! Brand Specialist Plus 1/2-Liter, 100% Stainless Steel","You'll have fluffy whipped cream for up to two weeks (refrigerated) without the use of preservatives or stabilizers. You can make upscale whipped cream, desserts, and sauces faster and easier than ever before, all at the touch of a button. Simply add fresh whipping cream, powdered sugar to taste, insert chargers, shake the dispenser for thirty seconds and you'll have delicious, fresh whipped cream.",i lost my tips are they sold separately ?,4,s
B0017HF8XY,"Sauder Orchard Hills Corner Entertainment Credenza, Carolina Oak Finish","The Orchard Hills corner entertainment credenza by Sauder has a Carolina Oak finish. The credenza accommodates up to a 50"" TV weighing 135 lbs. or less. This corner TV credenza has two adjustable shelves to hold audio/video equipment and two adjustable corner display shelves. It also has drawers with metal runners and safety stops that feature a patented T-lock assembly system and a grommet hole for cord management. For an at-home look that rolls with today's modern tech, Orchard Hills by Sauder offers solid traditional design softened by fine detailing and brass-finish hardware.",can 60in or 55in flat screen tv fit on this stand?,4,s
B00065HK7U,KitchenAid KPCA Pasta Cutter Companion Set Attachment,Process a batch of dough into fresh pasta with ease. The Thick Noodle Cutter and the Angel Hair Pasta Cutter cut pasta dough sheets into favorite noodles and pastas. This attachment fits all KitchenAid Stand Mixers.,does this also roll the pasta or is that a separate attachment?,4,s
B005I4GP3Y,Winco Champagne Bottle Stopper,The Winco champagne bottle stopper makes an ideal barware accessory to be used over and over again. Perfect for preserving the freshness of that good bottle of unfinished champagne or wine.,does anyone have any experience with this stopper working for veuve clicquot or dom perignon bottles?,-5,s
B000SSYY7O,Norpro KRONA Stainless Steel 12 Quart Multi Roaster,"Norpro's KRONA Stainless Steel 12 Quart Multi Roaster has a 5mm thick tri-ply encapsulated base and holds 18 - 24 lbs of meat.  The lid has a 3mm tri-ply encapsulated base and holds 5 quarts/4.8l.  The lid can also be used on a burner as a saute pan.  The heavy duty rack can be placed on the base of either the roaster or lid, while allowing juices to drain.",can both the base and the lid be used on induction burners?,3,s
B005PJ0VJQ,"Flex One Folding Chair, Black, 4-Pack","The Flex one from Mity-Lite sets the standard for comfort in a folding chair at an economical price. Constructed in the USA from 18-gauge cold-rolled steel and impact resistant polypropylene, Flex one is extremely durable and stands up to the rigors of commercial use. Utilizing a unique patterned plastic which allows its seat and backrest to flex to the contours of each individual, Flex one minimizes pressure points and provides unbelievable comfort. Experience excellent ergonomics at an economical price",is it stamped made in usa on the chair,4,s
B004ZAOANE,Sonax WB-2609 West Lake 60-Inch TV/Component Bench,"Revamp your living space with this contemporary TV bench from the West Lake Collection by Sonax Veneered in our dark shade of Espresso Maple stained wood, this transitional bench is a natural addition to your living space Glass doors framed with horizontal wood panels create a tasteful and concealed space to house all of your A/V components Complete with our convenient cable management system to maintain a sleek and polished look",is this made of particle board?,2,g
B0006IVZ3C,MIU France Stainless Steel Battery-Operated Salt Mill with LED Light,"At the touch of a button, these brushed 18/10 stainless steel mills dispense freshly ground seasonings. Salt mill has ceramic mechanism. Pepper mill has carbon steel mechanism adjustable for fine or coarse grind. Convenient window for monitoring quantity. Bottom light illuminates food so you don't over-season.",where do you get replacement bulbs?,-5,s
B004Q0OLOG,"Electrolux UltraSilencer&reg; Canister Vacuum, EL6986A",Electrolux's Ultra Silencer has sound dampening technology for whisper-quiet cleaning and ultimate suction power for ultimate bare floor cleaning. A full size nozzle is included for cleaning low-pile carpets and above-floor cleaning tools store at your fingertips. An automatic cord rewind allows for quick and easy storage. .,what tools come with this machine,-5,s
B0016P1AFM,"Emson Bacon Wave, Microwave Bacon Cooker","The Bacon Wave keeps bacon out of the grease but leaves in the flavor of frying pan, while substantially reducing the fat and cholestrol. Baon Wave is stackable, which means you can cook up to 28 pieces of bacon at once. Just place Bacon Wave in microwave and set timer for 1 minute per slice. The amazing Bacon Wave, which you have seen advertised on natinal TV makes 14 perfect bacon pieces in just 14 minutes. Makes bacon healthier and cookls bacon evenly.",dishwasher safe?,2,g
B001IZ03TO,Powell Basil Antique Brown Dining Side Chair with 2-Piece in 1-Carton,"Casual feel with traditional influences. Beautifully shaped oval back with inset floral pattern embossed metal panel, cast ball, and faux nail head trim details. An interwoven webbed poly Dacron seat covered in Sandy Beige, 60-percent cotton and 40-percent terylene fabric, is supported by faux nail head trimmed seat frame and curved, tapered hand wrought legs with extra rear leg-to-seat support built into the design. Coated in a rich antique brown finish with a satin sheen. Protective glides included. Some assembly required using 10-bolt construction.",what are the dimensions of these chairs?,-5,s
B005NAYJIG,TRU Crock Buffet Slow Cooker,"This TRU buffet slowcooker is a must-have for entertaining. With three separate, removable vessels, you can serve up a variety of appetizers, side dishes and more. For family dinners, birthday parties and every occasion in between, this TRU buffet slowcooker is sure to be a hit.",does anyone know what the wattage is on one of these?,3,s
B000UZNQ42,"Carolina Classic Hawthorne Pub Bar, Antique White","This stately pub table features English-style spindle legs, sturdy hardwood and wood veneer construction. The Hawthorne boasts lightly rounded, antiqued edges with a beautiful hand finish.",what is the length,-5,g
B001HIKIYC,Foremost HEWC1724 Heartland White Bathroom Medicine Cabinet,"The Heartland Collection offers a traditional look for the bathroom, with pieces boasting decorative arch doors. The vanities are made of durable plywood and with rigid face frame construction and come with an easy-to-clean, cultured marble countertop.",is it possible to install this piece upside down so that it will open to the right instead of to the left?,4,s
B003DREDTQ,"Casabella Silicone Mini Cube Ice Cube Tray, Set Of 2","Casabella silicone mini cube ice tray makes petite cubes for small containers. Set of two easy to use and clean silicone ice cube trays . Constructed from flexible food grade silicone with no-spill reservoir for mess-free use. Ideal for making ice, chocolates, baked-treats; Dishwasher safe. Measures 7-1/2 by 4-Inch. Casabella cleaning tools, kitchen and bath accessories and organizing products have received numerous design awards and industry recognition for beautiful design and high quality workmanship. Casabella - Be Gourmet",what are the dimensions of each cube hole?,3,s
B0009H798U,24000/24500 Honeywell Air Cleaner Replacement Filter,"Fits Honeywell enviracaire models 13350, 13500, 13501, 13502, 13503 (EV-35B), 13520, 13523, 13525, 13526, 13528, 13350, 50250, 50251, 52500, 63500, 83162, 83259, 83287, and 83332. It also fits Kenmore models 437.83259 amp;amp; 83259. This HEPA filter is 99.97% effective at removing particles as small as 0.3 microns from the air that passes through the filter. This filter measures approximately 10 1/4 H x 9 1/4 ID x 14 1/2 OD and the Surround Seal TM filter technology prevents dirty air from leaking around the filter. For optimum performance, replace filter every 12 months.",i have an model 1300 sr# 3-103776 i want to replace filters,4,s
B0057J81P0,Chef Pro Wet and Dry Food Grinder,"Wet & Dry Grinder, grinds moist foods as well as dry spices in a jiffy, Grind flaxseed for a powdery consistency, Crush dry spices to create unique spice rubs, Puree basil to make fresh pesto sauce, Chop up juicy tomato to whip up a great salsa, Grinds coffee beans for fresh coffee",i am looking to blend spices/in bulk then divide into smaller pouches,-5,s
B001PHGYNO,"Dynamic E002 Salad Spinner, Manual, 21&quot;H X 17&quot; Diameter, Capacity 5 Gallons","Salad Spinner, manual, 21""H x 17"" diameter, dries up to 6-8 heads of lettuce, capacity 5 gallons, (cover unassembled)",does the drain have a plug or does it constantly drain ?,4,s
B0040MIBBY,"Better Life What-ever! Unscented, 32 Ounce (Pack of 2)","The green all-purpose cleaner for this, that, and especially those.  From crayoned doors and spilled-on floors to stuck-on funk and nasty gunk, what-EVER! takes the work out of housework.",does it work well and safely on solid wood cabinets?,4,s
B0054DW46Q,"Oggi 3-Piece Mixing Bowl Set, White","This set of three melamine mixing bowls is perfect for your kitchen. Functional and fabulous, they are dishwasher safe and come in a size for every need. Three distinctive sizes. (2-1/4-Quart, 3-Quart, and 4-1/4-Quart). They nestle into each other. Dishwasher safe (Top Rack). Freezer safe. Made of durable melamine, these bowls will last for many years. They&#x2019;re lighter than ceramic but ever so tough with non skid bases. Color white.",size of bowls?,4,s
B001E6J0F0,"Microfiber California King Comforter Set, Burgundy / Khaki","Microfiber burgundy / khaki reversible comforter set - Cal King comes with one comforter, 2 king pillow shams, and one bedskirt.  This ultra soft microfiber comforter is reversible and accented with contrasting stitching.  Enjoy the look and ultimate luxury of microfiber.",does the bed skirt match the light or dark side of the comforter?,4,s
B0058SSUV0,Victorio VKP1054 Aluminum Steam Canner,The Victorio Aluminum Steam Canner features an exclusive built-in temperature indicator with three color-coded elevation zones so you know when to start timing.  Steam canning requires less water so it heats faster and saves energy.  Removable rack.  Instruction manual included,can i can chicken broth with this?,4,s
B001HL025O,"Linon Short Back Storage Bench, Walnut","Create added seating and storage to your foyer or mudroom with this attractive and functional Split Seat Storage Bench.  The bench features a split seat, allowing the user to rest on one side of the bench, while retrieving articles from the storage compartment on the opposite side.  The slat designed low back and sides are enhanced by the warm walnut finish.",do both seats lift up?,4,s
B0055OCCN4,Spt 9000 BTU Slimline Ac with Heater,"Stay cool or warm and breathe fresher air with the new WA-9061H unit. Enjoy a comfortable year-round environment with an air conditioner and heater unit. cooling, dehumidifying and fan features all in one. Powered by 9,000BTU cooling and 8,500BTU heating capacity, it ideally cools or heats an area up to 250 square feet.",does it still need to be vented outside when using as heater?,4,s
B0027FGD66,Nordic Ware Christmas Morning Pancake Pan,"Christmas morning breakfast made easy--and fun! Your family will love these festive silver dollar-sized pancakes with four different holiday designs, santa, tree, gingerbread man, and snowman. You'll love the non-stick coating that makes cleanup a breeze.   Use your favorite pancake recipe or the one included with the pan.  Proudly made in the USA by Nordic Ware.",what is the diameter of the pan?,3,s
B003TPKZB2,"6pc Dining Table, Parson Chairs and Bench Set in Dark Brown Finish","You will receive a total of 1 dining table, 4 parson chairs and 1 bench.
Table: 38""W x 64""L x 30""H
Parson chair: 39""H
Bench: 49""L x 18""D x 20""H
Finish: Dark Brown
Material: Wood, Marble, Bycast Leather
6pc Dining Table, Parson Chairs and Bench Set in Dark Brown Finish
Table features marble top.
Chair features dark brown finish wood covered with dark brown bycast leather.
Button tufted seat for add comfort.
Add a touch of elegance and comfort to your dining room with this set.
Matching server is available separately.
Assembly required.",does the table top look like stone or plastoc?,4,s
B003ZJWJ6Q,Jarden Consumer Heater BCH9212-U Bionaire Ceramic Mini Tower Heater,"Bionaire BCH9212-U Ceramic Mini Tower Heater features an elongated heating element which heats up a room quickly and efficiently. Quiet heat or fan only setting for year round, continuous use. Oscillation features evenly distributes heat throughout the room. Lightweight design and integrated carry handle gives you the ability to direct heat where you need it most. Built in safety features. Two heat settings with digital thermostat and easy-read LCD display. Fully functional remote control. Eco smart for up to $208 per year in energy savings. Painted accents.",does this heater comes with any warranty?,-5,s
B001ET7B9Y,"Kitchen Supply 2373 1-7/8-Inch Mini Muffin Silicone Baking Cups, Set of 12+","Silicone Baking Cups from Kitchen Supply are microwave safe, oven safe to 500-degrees Fahrenheit and freeze safe to -58-degrees Fahrenheit. Follow your favorite recipe for muffins, cupcakes or frozen dessert. Package of 12, 1 7/8-inch Cups, assorted colors.",are these made in china?,1,g
B0038W0LX8,Boss Multi-Function Fabric Task Chair Without Arms,Upholstered in Black Crepe fabric. Back angle lock allows the back to lock throughout the angel range for perfect back support. Seat tilt lock allows the seat to lock throughout the tilt range. Pneumatic gas lift seat height adjustment. Nylon base. Hooded double wheel casters.,does the chair allow the seat to tilt forwards?,3,s
B001AXCZVS,"Westinghouse Lighting Corp 70446 2-1/2-Inch Pewter Swag Hook, Large","2-1/2"" Large Brushed Pewter Swag Hook Includes 1 Spring Toggle Wings 1 Running Thread Studs & 1 Wood Screws",what weight will one of these hold?,3,s
B003E7UO8E,Coaster Jessica King Bed,The Jessica collection is crafted from solid wood and select veneers in light Cappuccino finish. The collection features full extension drawers dove tailing and solid wood back and side drawer construction.,"is this whole bed solid wood, or are any parts particle/veneer?",4,s
B000NZRG40,Panasonic SR-TEG10 5-Cup (Uncooked) Rice Cooker/Warmer/Steamer with Domed Lid,"5 Cup (uncooked) Automatic Rice Cooker/Steamer, Dome Lid with removable Moisture Cap that helps prevent boil over and maintains moisture after cooking the rice, Keep Warm feature automatically to a warm mode (12 hours), One-step Automatic Cooking with the press of a button, Enjoy steam vegetables with the included stetaming basket, Cool touch body and Carry handle, Auto Rewind Power Cord, Multi-lingual Instruction Manual in English, Chinese, French and Korean, Includes Rice Scoop, Steam Basket and Measuring Cup, Measures 9 3/4"" (W) x 9 3/4"" (D) x 10 1/16"" (H), 5.5 lbs, Silver/White finish",for how many people,-5,g
B002OT03FC,Breville BSC560XL Stainless-Steel 7-Quart Slow Cooker with EasySear Insert,"Slow cook meats and stews to perfection. Sear, saut&#xE9;, and brown on the stove-top and finish slow without losing any depth of flavor or nutrients. Low setting for gentle, uniform heat to deepen rich flavors. High and Dual settings for better cuts of meats and dishes featuring vegetables and grains like soups or stews. Cool touch handle lets you easily move from stove to cooker.",does this come with an insert so you can steam as you can with the cuisinart msc-600?,3,s
B008E076K0,Manual Cast Iron Meat Grinder by WalterDrake,"Our manual cast iron meat grinder will grind many foods that electric processors just can't handle. This hand crank meat grinder is just like Grandma used for soup and corned beef hash, meatballs and sausages! Our countertop meat grinder grinds 2 pounds per minute with its cutter disc. Each home meat grinder measures 9"" long and clamps instantly onto counters up to 1 5/8"" thick.",does it have a sausage stuffer,4,s
B0000VLIGY,"Fat Daddio's Anodized Aluminum Round Cake Pan, 5-Inch x 3-Inch","Fat Daddio&#x2019;s anodized aluminum bakeware reaches baking temperatures faster so your recipe can start doing its thing. Seamless, even-wall construction, produces consistent heating so your recipe turns out the way it should. No extra metal means quicker cooling times so your baking actually stops baking. Anodizing allows bakeware to become more. More durable. More versatile. Safe for citrus based foods and no cross-contamination. No extra metals, chemical coatings, or excuses for poor performance. Don&#x2019;t let bakeware limit your baking.",using pans: does anyone have any instructions on using these pans?,4,s
B002I2KDN2,Madesmart White Silverware Tray,59917 Features: -Small cutlery tray. Construction: -Durable plastic construction. Color/Finish: -White finish. Specifications: -5 Divided compartments. Dimensions: -Overall dimensions: 12.9'' H x 1.8'' W x 9'' D.,what is the size of the sub-compartments?,4,s
B000B7BWKO,Oliso TG-800 Touch &amp; Glide Steam Iron,"The new patented Smart Touch handle senses your hand and lowers the iron to the fabric. Simply let go of the handle and the patented Auto Lift system raises the iron, protecting the fabric and the soleplate. Scorch marks and heavy lifting are now a thing of the past. The Touch & Glide nonstick soleplate glides effortlessly over the fabric to make your  ironing easier and take less time. The powerful steam burst works vertically or horizontally to remove stubborn wrinkles.",why does my iron not spring back up when i sit it down on the ironing board,4,s
B0031OV6FA,2 24&quot; Red Cushion Kitchen Counter Dining Saddle Back Black Finish Bar Stools,"Always have extra seating on hand with this pair of wood 24-Inch Saddle Back Stools. These distinct set of two stools, with red cushion seating, can greatly enhance your home decor. Besides being attractive, these saddle back stools are sturdy and built to last.","will these give enough leg clearance if used with a standard dining table (about 31"") instead of one that is counter height?",4,s
B001BBRP64,Polka Dots Contact Paper,"Kittrich Corp 03-362-12 Magic Cover Grip Polka Blue Non-Adhesive Liner 18"" x 9' adds friction to shelves to prevent slipping and covers up stains/flaws to make shelves look like new.",does the contact paper remove easily without residue if need be?,3,s
B004FVE6J6,A Pair of Heavy Duty Saddle Seat Bar Stools Counter Stools - 24&quot; Dark Oak,"The stools are made of solid hardwood. The heavy duty seats and legs, with 6 stretchers(2 more than most)for support,are thicker than most saddle stools on the market.  Finishing: Dark Oak.  Pack: 2pcs/ctn, KD, brown box, Assembly is required.",can they be supplied without stain (unfinished)?,2,g
B004L9L42O,"simplehuman 40-Liter Slim Plastic Step Can, Black","A great value for any kitchen, the slim plastic step can has features unprecedented for a plastic can: simplehuman's proprietary lid shox for a smooth, silent close and a slide lock that helps keep the lid from being accidentally opened by kids or pets. A steel-accented pedal adds durability, while wheels and an integrated handle make the can easy to move.",how many gallons is it,-5,s
B008OBTWPQ,"Zojirushi SM-JB48PU Tuff Mug, 16-Ounce/0.48-Liter, Strawberry Pink",Zojirushi's 16-Ounce Tuff Mug is constructed out of durable stainless steel and has vacuum insulation that will keep your beverages hot or cold for hours. Each mug has a plastic cover around the mouth and an easy to clean non stick interior. The compact design of this mug takes minimal space while maximizing capacity.,"i got to travel on january 8th, will it be delivered before that?",1,g
B003FIH5RU,"RSVP Endurance Mini Pie Pan, 6&quot;","The RSVP Endurance 6"" Mini Pie Pan is perfect for small fruit pies, pot pies, quiche and other small dishes. Made from dishwasher safe stainless steel.",where is this pie pan manufactured?,1,g
B0009K8SJ6,Bayou Classic 1118 32-Quart Stainless Steel Turkey Fryer,"Bayou Classic Stainless Steel Cookware is the premium choice for those who demand the highest quality products for their outdoor cooking needs.  The Stainless Steel 32-Quart Stockpot allows you to fry a turkey in as little as 45 minutes.  With the included Skewer Set, the stockpot transforms into a Gourmet Chicken Fryer, making it possible to fry 3 chickens in 20 minutes.  The indentation in the pot raises the basket 1.75 in. above the bottom for steaming or boiling seafood, crawfish, clams, and vegetables.",does this have a flat enough bottom that it can be used on a flat glass cook top without rattling?,4,s
B003E2VF4Q,Global Amici Sonoma Spigot Jar Stand,"The Sonoma stand is sturdy, and allows you to place your glass under the spigot for easy access. It also saves on kitchen counter space.",how much liquid does it contain?,4,s
B0042IWOEG,Earthen Donabe Clay Pot #CD9/P,"Donabe, Also known as clay pot is a Japanese style Cooking Pot * Pot Dimension: 10in Diameter * Serving for 3-5 people * Cooks Evenly * Helps Vegetable Retain Vitamins During Cooking * High Quality Earthenware",is it glazed on the inside and outside?,4,s
B00485DAK0,"Powell Brushed Chrome, Black Poly and Glass Round Chairside Table","This Round Chairside Table adds function and style to any room. The sleek design is finished in ""Brushed Chrome"" with black poly base and clear glass top. The perfect table for any chair or sofa side, sure to fit into any d&#xE9;cor. Some assembly required.",how big is this,4,s
B00004S9CA,"Cuisinart DLC-834TX Fine Shredding Disc, Fits 7 and 11-Cup Processors","This stainless steel, dishwasher safe fine shredding disc from Cuisinart creates extra-fine, lacy shreds. Requires detachable stem DLC-139TX-1.","my cuisinart food processor is over 30 yrs old - the original shredder was on a stem, model dlc 7 - will this disc have a stem to fit my model?",3,s
B001020J08,"Sauder Harbor View Entertainment Credenza, Antiqued White Finish",The easy-going design of Harbor View Entertainment Credenza belies the hardworking side of the cottage pedigree. The collection offers genuine functionality for every room in the house providing an option for the family room that is sized to fit the latest in home electronics.,so for someone with a bad back who will be feeling it sitting on the floor to put this together - how long did it take you if you are someone who does,-5,Do not agree
B0006B46V2,"Benson Mills Clear Plastic Tablecloth, 60-Inch by 84-Inch",A clear plastic tablecloth perfect for everyday use. Can be used as a tablecloth or table cover to protect your table from damage and staining. Easily wipes clean. Available in a variety of additional sizes.,"is there a spec sheet regarding this product, such as uv rating, gage, etc?",-5,s
B00164W8HM,"IMUSA GAU-18200 Elecric Espresso / Cappuccino Maker with Milk Frother  4-Cup,  Black",IMUSA GAU-18200 espresso/ cappuccino maker is perfect for fresh espresso or homemade cappuccinos,need a stainless steel chamber for heating water,-5,Do not agree
B002RRH23W,"Sauder Multimedia Storage Tower, Cinnamon Cherry",The ideal piece of furniture that will fit any office or home setting. Like product from other Sauder collections the storage tower is quality-built with features to meet your unique needs. The hue of the Cinnamon Cherry finish allows the tower to be placed beside most finishes as a balanced accompaniment.,can shoes fit?,-5,Do not agree
B002KMJXYA,"Skyline Furniture North Avenue Queen Upholstered Bed with Nail Button Trim, Groupie Pewter","This handmade bed adds style to any bedroom with it's beautiful upholstery accented with nail button trim. Hand crafted and upholstered in the US, the headboard has a solid wood frame, adjUStable steel legs, and polyurethane foam padding. The steel bed frame holds a standard size box spring and is complemented with upholstered rails. The bed is available in twin, full, queen, king, and California king. Item pictured in queen. Easy assembly required. Spot clean only.",can the bed frame stand alone without the headboard?,4,s
B000I5REVA,Dyson DC17 Animal Cyclone Upright Vacuum Cleaner,"DC17 Animal; The most powerful upright for pet hair. Outcleans all other vacuums, room after room.  Level 3 Root Cyclone technology.  Unique cleaner head and motorized brushbar for the bets pick-up across all floor types.","are the dc17 and the dc17 ""animal"" vacuums the same?",4,s
B00110JECI,"American Furniture Alliance Mali Flex Futon Frame and Cushions, Black","The Mali is an alternative contemporary furniture piece with innovative capabilities.  Each side has six-positional wings that can form the Mali frame into a sofa chair and multi-positional lounger.  Custom cushions and pillows decorate the Mali while offering superior comfort.  Available in a sleek silver finish, the Mali frame with stylish cushions is the perfect furniture addition to any home, office, dorm and apartment.",is there a frame for the back cushion or does it just rest against the wall?,4,s
B000QOH3BE,"Corelle Livingware Luncheon Plate, Winter Frost White, Size: 8-1/2-Inch, Set of 6 Plates","*** (This item sold as a pack of 6) ***Corelle livingware open stock. Plain white, simple yet stylish. Bulk pack.","does the underside of the plate have a distinct ridge, or is it fairly smooth?",4,s
B002UG60K6,Anchor Hocking 4 3/4-Cup Rectangular TrueSeal Food Storage Box,TrueSeal is the Industry's best seal technology!  This superior seal keeps food fresher longer.  The soft plastic seal's parameter allows for easy use.  Transparent window allows for easy viewing of contents.  The tempered glass container is oven safe up to 425 degrees Fahrenheit.  The glass is made in the USA by Anchor Glass and has 5-Year Warranty.  The glass is dishwasher safe.  The lid is not oven safe but can be washed on the top shelf of your dishwasher.,are containers of this brand air tight and leak proof?,3,s
B0001V03X2,Norpro 4 Quart Stainless Steel Steamer Cooker 3 Piece Set,"This 4 quart, 3 piece set includes stainless steel stockpot, steamer insert and vented lid.   Perfect for sauces, blanching, pasta, shellfish or vegetables.",is the base on this sealed on or is it all one piece pot?,4,s
B001QD6630,"Whitmor 6581-2711 Woven Strap Shelf Tote, Java","Whitmor&#x2019;s woven shelf totes are a stylish way to store and organize spaces in your home or office.  These fashionable storage totes can be displayed or used to organize bookcases, desks, open shelving or entertainment centers. They are made a durable wipe-clean polypropylene fabric strapping and steel epoxy coated frame with convenient integrated handles. Measures:  13&#x201D;L x 15&#x201D;W x 5&#x201D;H. Color: Java",what is the height of the basket?,-5,s
